asset_code,name
M14860,Milling Machine M14860 (M-Type)
L47181,Milling Machine L47181 (L-Type)
L47182,Milling Machine L47182 (L-Type)
L47183,Milling Machine L47183 (L-Type)
L47184,Milling Machine L47184 (L-Type)
M14865,Milling Machine M14865 (M-Type)
L47186,Milling Machine L47186 (L-Type)
L47187,Milling Machine L47187 (L-Type)
M14868,Milling Machine M14868 (M-Type)
M14869,Milling Machine M14869 (M-Type)
L47230,Milling Machine L47230 (L-Type)
L47249,Milling Machine L47249 (L-Type)
L47257,Milling Machine L47257 (L-Type)
L47340,Milling Machine L47340 (L-Type)
L47341,Milling Machine L47341 (L-Type)
L47348,Milling Machine L47348 (L-Type)
M15054,Milling Machine M15054 (M-Type)
M15067,Milling Machine M15067 (M-Type)
L47422,Milling Machine L47422 (L-Type)
L47428,Milling Machine L47428 (L-Type)
